PID	Name	Description	Price	Cost	FeatureVector
23	Foundry Cast Iron Skillet	A pre-seasoned 12-inch cast iron skillet that provides superior heat retention and can be used on any heat source. A multi-generational kitchen workhorse.	55	10	"[-0.2, 0.9, 1.0, 0.1, -1.0]"
24	Vibe Fast-Fashion Graphic Tee	A trendy graphic t-shirt made from a thin polyester-cotton blend. The design is timely but the shirt is not made to withstand many wash cycles.	40	3	"[0.3, 0.2, -0.9, -0.8, 0.4]"
25	Momentum Smartwatch	"A sleek smartwatch with GPS, heart rate tracking, and a vibrant AMOLED display. Features a titanium case and a battery that lasts up to 7 days. Syncs with all major fitness apps."	280	215	"[0.7, 0.9, 0.7, 0.3, 0.9]"
26	Nomad Vegan Leather Backpack	"A minimalist backpack made from high-quality, water-resistant vegan leather. Ethically produced, it features a padded laptop compartment and a clean, modern aesthetic."	80	10	"[0.8, 0.7, 0.6, 0.9, 0.2]"
27	Crisp Digital Air Fryer	"A 5.8-quart air fryer that cooks food with 85% less fat. Features a digital touchscreen with presets and a non-stick, dishwasher-safe basket. A functional kitchen staple."	120	55	"[-0.2, 1.0, 0.5, 0.1, 0.6]"
28	Zenith Ultralight Backpacking Tent	"A two-person, three-season tent weighing only 2.5 lbs. Made with ripstop silnylon and DAC aluminum poles. Designed for serious backpackers who prioritize weight and durability."	320	240	"[0.1, 0.9, 0.9, 0.5, 0.4]"
29	Strata Artisanal Ceramic Dinnerware	"A 16-piece set of stoneware dishes, hand-glazed by artisans. Each piece has a unique, rustic finish. Microwave and dishwasher safe, combining beauty with practicality."	200	90	"[0.9, 0.6, 0.8, 0.4, -0.7]"
30	PageTurner E-Reader	"An e-reader with a 7-inch, glare-free E-Ink display and warm light adjustment. Waterproof design and weeks of battery life. A classic piece of focused technology."	120	65	"[0.2, 0.8, 0.6, 0.2, -0.4]"
31	Evergreen DIY Terrarium Kit	"A complete kit to build your own closed terrarium. Includes a hand-blown glass container, soil, moss, and decorative stones. A sustainable, living piece of home decor."	65	8	"[0.5, -0.3, -0.4, 1.0, -0.5]"
32	Aura Scented Soy Candle	"A hand-poured candle made from 100% natural soy wax and essential oils. Housed in a minimalist ceramic vessel. Provides 50+ hours of clean, fragrant burn time."	58	9	"[0.7, -0.6, -0.3, 0.8, -0.8]"
33	Circuit Robotic Vacuum Cleaner	A Wi-Fi connected robotic vacuum with smart mapping technology. Cleans in neat rows and automatically recharges. Can be controlled via voice commands or a mobile app.	179	95	"[0.2, 0.9, 0.6, 0.1, 1.0]"
34	Heritage Cashmere Scarf	An exquisitely soft scarf woven from 100% Mongolian cashmere. A timeless luxury accessory providing exceptional warmth and elegance.	120	25	"[0.9, 0.2, 0.7, 0.3, -1.0]"
35	Pro-Lens 50mm F1.4 Camera Lens	A professional-grade prime lens known for its exceptional sharpness and beautiful bokeh. A purely functional tool for photographers seeking the highest image quality.	740	590	"[0.1, 1.0, 0.9, 0.1, 0.2]"
36	Brewmaster Craft Beer Kit	An all-in-one kit for brewing 1 gallon of IPA at home. Includes all necessary ingredients and reusable equipment. An innovative entry into a classic hobby.	60	20	"[-0.3, 0.6, 0.4, 0.2, 0.7]"
37	Gravity Weighted Blanket	"A 15-lb blanket designed to improve sleep by providing gentle, calming pressure. Features a breathable cotton cover and eco-friendly glass bead filling."	150	70	"[0.1, 0.8, 0.7, 0.6, 0.4]"
38	Flow Cork Yoga Mat	"An anti-microbial yoga mat made from sustainable cork and natural rubber. Provides superior grip, especially during sweaty sessions. 100% biodegradable and plastic-free."	75	7	"[0.2, 0.8, 0.8, 1.0, -0.1]"
39	Glow Premium Skincare Set	"A set of three organic, cruelty-free skincare products (cleanser, serum, moisturizer) formulated with scientifically backed ingredients for visible results."	125	50	"[0.7, 0.7, 0.1, 0.9, 0.6]"
40	Generic Kitchen Sponge (12-pack)	A bulk pack of standard cellulose kitchen sponges. Highly functional for cleaning but designed to be disposed of frequently.	12	1	"[-1.0, 0.8, -1.0, -0.9, -1.0]"
41	Velocity Recycled Running Shoes	High-performance running shoes with a midsole made from recycled foam and an upper woven from reclaimed ocean plastic. Engineered for both speed and sustainability.	150	65	"[0.4, 0.9, 0.6, 1.0, 0.7]"
42	Riff Electric Guitar Starter Pack	"A full-size electric guitar with a small amplifier, cable, strap, and picks. A budget-friendly, functional package for beginners, but not professional quality."	190	80	"[-0.6, 0.7, 0.4, -0.3, -0.2]"
43	Cinema Portable Projector	A palm-sized projector with a built-in battery and speaker. Can create an 80-inch screen on any surface. A novel way to watch movies anywhere.	259	140	"[0.3, 0.8, 0.4, 0.1, 0.9]"
44	Tuscan Grove Extra Virgin Olive Oil	"A premium, cold-pressed olive oil from a single estate in Italy. Packaged in a traditional tin to protect its flavor. An authentic, high-quality pantry item."	35	10	"[0.7, 0.3, -0.2, 0.6, -0.9]"
45	Carbon Road Bicycle	A feather-light road bike with a full carbon fiber frame and electronic shifting. Built for competitive racing and high-performance cycling.	550	400	"[0.5, 1.0, 0.8, 0.2, 1.0]"
46	The Settlers Modern Board Game	A strategic board game of harvesting and trading resources. A modern classic known for its high replayability and social interaction.	55	15	"[0.1, 0.5, 0.7, 0.2, -0.7]"
47	Bespoke Tailored Suit	"A custom-made suit crafted from Italian wool. Involves multiple fittings to ensure a perfect, timeless fit. The epitome of personal style and enduring quality."	280	170	"[1.0, 0.3, 1.0, 0.2, -1.0]"
48	SnackBox Monthly Subscription	A curated box of 12+ artisanal and healthy snacks delivered monthly. Focuses on new and innovative brands. A discovery-based product.	30	3	"[0.3, 0.5, -0.8, 0.6, 0.8]"
49	Arc Minimalist Floor Lamp	"A sleek floor lamp with a simple arc design and a marble base. Provides warm, ambient light. A statement piece of modern, functional decor."	125	15	"[0.8, 0.6, 0.6, 0.1, 0.1]"
