TID	CID	Date	Order	OrderProfit	OrderSize
189	14	2024-11-02	[(45, 1), (43, 1), (6, 1), (16, 2), (33, 1)]	3897	6
238	16	2024-11-02	[(23, 1), (14, 1)]	36	2
285	18	2024-11-02	[(23, 1), (19, 1), (17, 1), (29, 1), (0, 1), (34, 1)]	2222	6
107	7	2024-11-03	[(42, 1), (14, 1), (23, 1), (30, 1), (35, 1)]	696	5
45	3	2024-11-04	[(13, 2), (48, 2)]	302	4
487	28	2024-11-05	[(5, 1)]	9	1
190	14	2024-11-06	[(1, 1), (39, 1), (26, 1), (41, 1), (37, 1)]	495	5
239	16	2024-11-06	[(42, 1)]	110	1
348	21	2024-11-06	[(2, 1)]	250	1
90	6	2024-11-07	[(11, 3), (40, 1), (4, 1)]	107	5
191	14	2024-11-07	[(12, 1), (28, 1)]	267	2
408	24	2024-11-07	[(29, 2)]	320	2
409	24	2024-11-08	[(25, 1)]	240	1
540	31	2024-11-08	[(49, 1), (22, 3)]	740	4
74	5	2024-11-11	[(36, 1), (4, 1), (8, 1), (21, 1)]	70	4
600	37	2024-11-11	[(30, 1), (18, 1), (42, 1), (3, 1), (38, 1)]	283	5
108	7	2024-11-12	[(46, 1), (40, 3), (11, 1), (18, 1), (10, 1)]	395	7
266	17	2024-11-12	[(7, 1), (34, 1)]	180	2
580	36	2024-11-12	[(12, 1), (28, 1), (37, 1), (41, 1)]	442	4
219	15	2024-11-13	[(7, 1)]	55	1
46	3	2024-11-14	[(24, 2), (39, 1)]	101	3
369	22	2024-11-15	[(41, 1), (12, 1), (39, 1)]	207	3
0	0	2024-11-16	[(25, 1), (20, 1)]	450	2
488	28	2024-11-16	[(3, 1), (14, 1), (34, 1), (15, 1)]	162	4
60	4	2024-11-17	[(33, 1)]	190	1
286	18	2024-11-17	[(47, 1)]	1500	1
504	29	2024-11-17	[(23, 1), (14, 1), (46, 1)]	67	3
75	5	2024-11-18	[(11, 1)]	28	1
524	30	2024-11-18	[(12, 1), (37, 1), (39, 1), (22, 1), (28, 1), (6, 1), (45, 1), (43, 1), (33, 2)]	4026	10
1	0	2024-11-19	[(45, 1)]	2300	1
109	7	2024-11-21	[(27, 1), (28, 2), (36, 1)]	560	4
267	17	2024-11-21	[(19, 1), (49, 1), (17, 1), (30, 1)]	382	4
27	2	2024-11-22	[(2, 1), (29, 1), (7, 1), (47, 1)]	1965	4
240	16	2024-11-22	[(46, 1)]	31	1
287	18	2024-11-22	[(18, 1), (3, 1), (35, 1)]	516	3
601	37	2024-11-24	[(17, 1)]	180	1
220	15	2024-11-25	[(2, 1), (0, 1), (29, 1), (17, 1)]	2290	4
525	30	2024-11-27	[(26, 1), (16, 1), (49, 1), (38, 1), (10, 1), (18, 1), (35, 1)]	1387	7
388	23	2024-11-28	[(13, 1)]	135	1
526	30	2024-11-28	[(27, 1), (36, 1)]	100	2
47	3	2024-11-29	[(25, 1)]	240	1
389	23	2024-11-29	[(6, 1)]	550	1
76	5	2024-12-01	[(40, 1), (24, 1)]	18	2
164	13	2024-12-02	[(17, 1), (46, 1), (30, 2), (5, 1)]	380	5
268	17	2024-12-02	[(46, 1), (26, 1)]	136	2
327	20	2024-12-02	[(3, 1), (0, 1), (7, 1)]	1780	3
581	36	2024-12-02	[(27, 1)]	65	1
619	38	2024-12-03	[(26, 1), (2, 1), (0, 1)]	2055	3
2	0	2024-12-04	[(6, 1), (22, 1), (1, 1), (49, 1), (33, 1), (26, 1), (41, 1), (39, 1)]	1465	8
110	7	2024-12-04	[(2, 1)]	250	1
442	26	2024-12-04	[(11, 1)]	28	1
469	27	2024-12-04	[(33, 1), (22, 1), (16, 2), (6, 1), (45, 1), (43, 1), (18, 1), (12, 2)]	4207	10
582	36	2024-12-04	[(36, 1)]	35	1
165	13	2024-12-05	[(9, 1), (28, 1)]	243	2
527	30	2024-12-05	[(17, 1), (29, 1), (41, 1), (2, 1)]	685	4
91	6	2024-12-06	[(21, 1), (5, 1)]	18	2
410	24	2024-12-06	[(22, 3), (35, 1), (10, 1)]	1415	5
602	37	2024-12-06	[(2, 1)]	250	1
541	31	2024-12-07	[(20, 1), (45, 1), (1, 1), (26, 1)]	2755	4
241	16	2024-12-08	[(35, 1)]	470	1
304	19	2024-12-08	[(9, 1), (30, 1), (37, 1)]	173	3
583	36	2024-12-08	[(39, 1), (49, 1), (26, 1)]	275	3
111	7	2024-12-09	[(4, 1), (8, 1)]	26	2
528	30	2024-12-09	[(48, 1)]	16	1
192	14	2024-12-10	[(10, 1), (35, 1), (38, 1), (29, 2), (18, 1), (48, 1)]	1174	7
288	18	2024-12-10	[(38, 1)]	47	1
166	13	2024-12-11	[(10, 1)]	300	1
269	17	2024-12-11	[(3, 1), (38, 1)]	72	2
77	5	2024-12-13	[(42, 1), (4, 1), (8, 1)]	136	3
470	27	2024-12-13	[(37, 1), (42, 1)]	190	2
242	16	2024-12-14	[(10, 2)]	600	2
305	19	2024-12-14	[(28, 1), (12, 1)]	267	2
390	23	2024-12-14	[(45, 1), (43, 1)]	2459	2
529	30	2024-12-14	[(9, 3)]	39	3
620	38	2024-12-14	[(25, 1), (22, 1)]	455	2
243	16	2024-12-15	[(30, 1)]	80	1
142	10	2024-12-16	[(25, 1), (1, 1), (22, 1), (45, 1), (41, 1), (33, 1), (12, 1), (37, 1)]	3297	8
349	21	2024-12-17	[(29, 1), (47, 2)]	3160	3
471	27	2024-12-17	[(27, 1)]	65	1
542	31	2024-12-17	[(10, 1)]	300	1
3	0	2024-12-18	[(16, 1)]	349	1
350	21	2024-12-18	[(7, 1), (0, 1), (46, 1)]	1786	3
370	22	2024-12-21	[(33, 1)]	190	1
584	36	2024-12-21	[(10, 1)]	300	1
603	37	2024-12-21	[(19, 1)]	27	1
505	29	2024-12-22	[(30, 1)]	80	1
621	38	2024-12-22	[(45, 1)]	2300	1
125	9	2024-12-23	[(24, 3)]	39	3
472	27	2024-12-23	[(14, 1), (36, 1), (4, 1), (35, 1)]	529	4
506	29	2024-12-23	[(35, 1), (10, 1), (8, 1)]	778	3
112	7	2024-12-24	[(42, 1)]	110	1
143	10	2024-12-24	[(28, 1), (27, 1)]	295	2
193	14	2024-12-24	[(27, 1)]	65	1
289	18	2024-12-24	[(44, 1), (49, 1), (14, 1)]	121	3
426	25	2024-12-25	[(11, 1)]	28	1
28	2	2024-12-26	[(0, 1)]	1700	1
585	36	2024-12-26	[(38, 1), (6, 1)]	597	2
221	15	2024-12-27	[(46, 1), (23, 1), (3, 1), (18, 1), (38, 2)]	201	6
328	20	2024-12-27	[(34, 1), (19, 2), (49, 1)]	274	4
391	23	2024-12-27	[(39, 1)]	75	1
622	38	2024-12-27	[(20, 1)]	210	1
222	15	2024-12-28	[(30, 1), (44, 1), (9, 1), (26, 1), (14, 1), (19, 1)]	251	6
167	13	2024-12-29	[(12, 1), (36, 1), (27, 1)]	137	3
371	22	2024-12-29	[(37, 1), (28, 1), (26, 2), (10, 1)]	820	5
586	36	2024-12-29	[(35, 1), (33, 1), (18, 1), (48, 1), (45, 1)]	2997	5
223	15	2024-12-30	[(49, 1), (34, 1)]	220	2
507	29	2024-12-30	[(40, 1), (11, 1), (42, 1)]	143	3
530	30	2024-12-30	[(3, 1), (30, 1), (1, 1), (25, 1)]	485	4
372	22	2024-12-31	[(49, 1)]	95	1
306	19	2025-01-01	[(5, 1)]	9	1
329	20	2025-01-01	[(30, 1)]	80	1
587	36	2025-01-01	[(22, 1), (16, 1), (1, 1)]	704	3
126	9	2025-01-02	[(40, 2)]	10	2
411	24	2025-01-03	[(28, 1), (2, 1), (0, 1), (45, 1)]	4480	4
127	9	2025-01-04	[(4, 1)]	18	1
412	24	2025-01-06	[(26, 1), (20, 1), (6, 1), (47, 1)]	2365	4
443	26	2025-01-07	[(24, 1)]	13	1
29	2	2025-01-08	[(30, 1), (46, 1), (17, 2), (19, 2), (49, 1), (23, 1), (18, 1), (35, 1)]	1141	10
427	25	2025-01-08	[(4, 1)]	18	1
568	35	2025-01-08	[(38, 2)]	94	2
78	5	2025-01-09	[(48, 1), (11, 1), (27, 1), (5, 1)]	118	4
531	30	2025-01-09	[(20, 1)]	210	1
48	3	2025-01-11	[(1, 1), (16, 1)]	489	2
144	10	2025-01-11	[(39, 1), (10, 1), (26, 1)]	480	3
168	13	2025-01-11	[(41, 1), (1, 1)]	235	2
489	28	2025-01-11	[(31, 2), (32, 1)]	96	3
113	7	2025-01-12	[(14, 1), (23, 1), (30, 1), (3, 1), (46, 1)]	172	5
194	14	2025-01-13	[(30, 1)]	80	1
543	31	2025-01-13	[(6, 1)]	550	1
61	4	2025-01-14	[(16, 1), (43, 1), (1, 1)]	648	3
244	16	2025-01-15	[(40, 1)]	5	1
444	26	2025-01-15	[(8, 1), (4, 2), (40, 1)]	49	4
490	28	2025-01-15	[(19, 1)]	27	1
544	31	2025-01-16	[(41, 1), (39, 1), (37, 1), (16, 1), (43, 1), (33, 1), (35, 1)]	1418	7
114	7	2025-01-17	[(21, 1), (40, 4), (38, 1)]	76	6
290	18	2025-01-17	[(10, 1)]	300	1
291	18	2025-01-19	[(2, 1), (26, 2)]	460	3
413	24	2025-01-19	[(30, 1)]	80	1
270	17	2025-01-20	[(18, 3), (44, 1)]	83	4
245	16	2025-01-22	[(19, 1), (23, 1), (47, 1)]	1557	3
292	18	2025-01-23	[(28, 1), (46, 1)]	261	2
307	19	2025-01-23	[(41, 1)]	95	1
373	22	2025-01-23	[(36, 1)]	35	1
445	26	2025-01-24	[(24, 2)]	26	2
604	37	2025-01-24	[(23, 1)]	30	1
293	18	2025-01-25	[(30, 1)]	80	1
491	28	2025-01-25	[(5, 1)]	9	1
30	2	2025-01-26	[(34, 1), (3, 1)]	150	2
169	13	2025-01-26	[(42, 2), (35, 1), (14, 1), (21, 1)]	705	5
92	6	2025-01-27	[(9, 1), (15, 1)]	19	2
508	29	2025-01-27	[(19, 1)]	27	1
170	13	2025-01-28	[(18, 1), (38, 1), (26, 1)]	173	3
4	0	2025-01-29	[(43, 1)]	159	1
145	10	2025-01-29	[(36, 1), (35, 1)]	505	2
224	15	2025-01-29	[(32, 1), (7, 1), (2, 2)]	577	4
374	22	2025-01-29	[(27, 1), (35, 1), (38, 1)]	582	3
446	26	2025-01-29	[(48, 1), (13, 1)]	151	2
330	20	2025-01-30	[(46, 2), (18, 1), (9, 1), (29, 1)]	256	5
31	2	2025-01-31	[(44, 1), (10, 1)]	320	2
605	37	2025-01-31	[(5, 2)]	18	2
32	2	2025-02-01	[(38, 1)]	47	1
392	23	2025-02-01	[(16, 1)]	349	1
428	25	2025-02-01	[(8, 1), (42, 2)]	228	3
308	19	2025-02-03	[(23, 1), (26, 1), (10, 1), (35, 1), (3, 1), (18, 1)]	951	6
351	21	2025-02-03	[(3, 1), (30, 1), (18, 1), (38, 1), (44, 1), (9, 1)]	206	6
79	5	2025-02-04	[(4, 1)]	18	1
195	14	2025-02-05	[(25, 1), (22, 2), (36, 1), (45, 1), (43, 1), (6, 1), (16, 1), (33, 1)]	4253	9
128	9	2025-02-06	[(24, 1)]	13	1
393	23	2025-02-06	[(41, 1)]	95	1
509	29	2025-02-06	[(4, 1), (23, 1)]	48	2
246	16	2025-02-07	[(2, 1)]	250	1
294	18	2025-02-07	[(29, 1), (19, 3), (17, 1)]	421	5
545	31	2025-02-07	[(12, 3)]	111	3
5	0	2025-02-08	[(12, 1)]	37	1
196	14	2025-02-09	[(1, 1)]	140	1
414	24	2025-02-09	[(1, 1)]	140	1
606	37	2025-02-11	[(46, 1)]	31	1
247	16	2025-02-12	[(18, 1)]	21	1
607	37	2025-02-12	[(29, 1), (47, 1)]	1660	2
394	23	2025-02-13	[(49, 1), (1, 1)]	235	2
271	17	2025-02-14	[(29, 1)]	160	1
546	31	2025-02-14	[(28, 1), (38, 1)]	277	2
331	20	2025-02-15	[(26, 1), (38, 1)]	152	2
225	15	2025-02-16	[(47, 1), (35, 1)]	1970	2
492	28	2025-02-16	[(21, 2)]	18	2
569	35	2025-02-16	[(26, 1)]	105	1
129	9	2025-02-17	[(11, 1)]	28	1
375	22	2025-02-17	[(45, 1)]	2300	1
588	36	2025-02-17	[(43, 2), (25, 1), (12, 1), (37, 2)]	755	6
547	31	2025-02-18	[(30, 1)]	80	1
197	14	2025-02-19	[(20, 2)]	420	2
62	4	2025-02-20	[(41, 2), (12, 1)]	227	3
352	21	2025-02-21	[(23, 1)]	30	1
589	36	2025-02-21	[(41, 1)]	95	1
332	20	2025-02-22	[(2, 1)]	250	1
115	7	2025-02-23	[(42, 1), (35, 1)]	580	2
198	14	2025-02-23	[(49, 3)]	285	3
272	17	2025-02-23	[(47, 1)]	1500	1
623	38	2025-02-23	[(6, 1)]	550	1
353	21	2025-02-24	[(17, 2)]	360	2
6	0	2025-02-25	[(28, 1), (10, 1), (37, 1)]	610	3
473	27	2025-02-25	[(42, 1)]	110	1
510	29	2025-02-25	[(7, 1)]	55	1
532	30	2025-02-25	[(39, 1), (12, 1), (26, 1), (37, 1)]	297	4
49	3	2025-02-26	[(13, 1)]	135	1
511	29	2025-02-26	[(42, 1)]	110	1
146	10	2025-02-27	[(20, 1), (43, 1), (49, 1), (16, 1)]	813	4
295	18	2025-02-27	[(7, 1), (34, 1)]	180	2
333	20	2025-02-27	[(44, 1), (17, 2), (23, 1), (35, 1), (28, 1)]	1110	6
415	24	2025-02-27	[(49, 2), (7, 3), (34, 1), (43, 1), (33, 1)]	829	8
171	13	2025-02-28	[(3, 2), (17, 1), (47, 1)]	1730	4
199	14	2025-02-28	[(41, 1), (26, 1), (28, 1), (10, 1)]	730	4
7	0	2025-03-01	[(25, 1), (36, 1)]	275	2
93	6	2025-03-01	[(21, 1), (5, 1), (31, 1), (14, 1), (3, 1)]	86	5
147	10	2025-03-01	[(18, 1)]	21	1
248	16	2025-03-01	[(7, 1)]	55	1
447	26	2025-03-01	[(11, 1), (24, 1)]	41	2
200	14	2025-03-02	[(39, 1), (37, 1)]	155	2
309	19	2025-03-02	[(38, 1), (21, 1), (17, 2)]	416	4
570	35	2025-03-02	[(2, 1), (44, 1), (47, 1), (17, 1), (0, 1)]	3650	5
334	20	2025-03-03	[(37, 1), (41, 1)]	175	2
226	15	2025-03-04	[(0, 1)]	1700	1
571	35	2025-03-04	[(7, 1)]	55	1
474	27	2025-03-05	[(10, 1), (28, 1), (36, 1)]	565	3
33	2	2025-03-06	[(29, 1), (2, 1), (37, 1)]	490	3
416	24	2025-03-06	[(37, 1), (41, 1)]	175	2
448	26	2025-03-06	[(40, 1)]	5	1
608	37	2025-03-06	[(14, 1)]	6	1
34	2	2025-03-07	[(26, 1), (47, 1)]	1605	2
548	31	2025-03-08	[(18, 3), (27, 1), (29, 1), (2, 2), (22, 1), (0, 1)]	2703	9
80	5	2025-03-09	[(8, 1)]	8	1
376	22	2025-03-09	[(25, 1), (6, 1), (1, 1), (22, 1), (43, 1)]	1304	5
377	22	2025-03-10	[(16, 1), (41, 1), (18, 2)]	486	4
130	9	2025-03-11	[(8, 1)]	8	1
609	37	2025-03-11	[(3, 2)]	50	2
310	19	2025-03-12	[(29, 1), (46, 1)]	191	2
227	15	2025-03-13	[(29, 1), (17, 1), (34, 2), (23, 2), (44, 2)]	690	8
395	23	2025-03-13	[(13, 1), (22, 2), (20, 1), (12, 1)]	812	5
8	0	2025-03-14	[(35, 1), (20, 1)]	680	2
417	24	2025-03-14	[(18, 2), (16, 2)]	740	4
172	13	2025-03-15	[(37, 2), (29, 1)]	320	3
311	19	2025-03-15	[(14, 1), (36, 1), (1, 1)]	181	3
63	4	2025-03-16	[(28, 1)]	230	1
9	0	2025-03-18	[(45, 1), (38, 1), (18, 1)]	2368	3
449	26	2025-03-18	[(8, 1)]	8	1
590	36	2025-03-18	[(20, 1)]	210	1
94	6	2025-03-19	[(38, 1), (39, 1), (12, 1), (11, 1), (8, 1)]	195	5
354	21	2025-03-19	[(19, 1), (34, 1), (26, 1)]	257	3
429	25	2025-03-20	[(40, 1)]	5	1
35	2	2025-03-21	[(7, 1)]	55	1
201	14	2025-03-21	[(12, 1)]	37	1
64	4	2025-03-22	[(37, 1)]	80	1
378	22	2025-03-22	[(20, 1), (33, 1), (49, 1), (30, 1), (48, 1), (28, 1)]	821	6
624	38	2025-03-22	[(35, 3), (10, 1), (30, 2), (37, 1), (1, 1), (18, 1), (49, 1), (43, 1)]	2365	11
131	9	2025-03-23	[(13, 2), (24, 1)]	283	3
173	13	2025-03-23	[(39, 1)]	75	1
296	18	2025-03-23	[(23, 2), (0, 1)]	1760	3
493	28	2025-03-24	[(15, 2), (31, 1), (32, 1), (44, 1)]	91	5
174	13	2025-03-25	[(22, 1), (23, 1)]	245	2
549	31	2025-03-25	[(25, 1), (49, 1), (47, 1)]	1835	3
36	2	2025-03-26	[(28, 1), (0, 1)]	1930	2
273	17	2025-03-26	[(0, 1), (2, 1), (7, 1), (34, 1), (49, 2), (19, 1)]	2347	7
610	37	2025-03-26	[(30, 1)]	80	1
10	0	2025-03-27	[(27, 1), (1, 1)]	205	2
202	14	2025-03-27	[(9, 1)]	13	1
396	23	2025-03-27	[(25, 1)]	240	1
175	13	2025-03-29	[(9, 1), (2, 1)]	263	2
450	26	2025-03-29	[(48, 1)]	16	1
572	35	2025-03-29	[(29, 1), (34, 1)]	285	2
249	16	2025-03-30	[(42, 1)]	110	1
550	31	2025-03-30	[(45, 1), (10, 1), (6, 1)]	3150	3
148	10	2025-03-31	[(6, 3)]	1650	3
116	7	2025-04-01	[(23, 1)]	30	1
379	22	2025-04-01	[(12, 1)]	37	1
551	31	2025-04-01	[(1, 1)]	140	1
512	29	2025-04-02	[(14, 1), (46, 1), (40, 1)]	42	3
611	37	2025-04-02	[(18, 1), (7, 1), (17, 1)]	256	3
228	15	2025-04-03	[(19, 1)]	27	1
65	4	2025-04-04	[(49, 1)]	95	1
117	7	2025-04-04	[(14, 1), (8, 1)]	14	2
203	14	2025-04-04	[(35, 1)]	470	1
81	5	2025-04-05	[(40, 1), (11, 1)]	33	2
397	23	2025-04-05	[(33, 1)]	190	1
95	6	2025-04-06	[(48, 1), (15, 1)]	22	2
229	15	2025-04-06	[(46, 1)]	31	1
335	20	2025-04-06	[(7, 1)]	55	1
355	21	2025-04-06	[(2, 1)]	250	1
118	7	2025-04-07	[(18, 1)]	21	1
274	17	2025-04-07	[(35, 1), (17, 1), (10, 1)]	950	3
418	24	2025-04-07	[(25, 1), (17, 1), (12, 1)]	457	3
96	6	2025-04-08	[(18, 1)]	21	1
297	18	2025-04-09	[(47, 1), (18, 1)]	1521	2
356	21	2025-04-10	[(49, 1), (29, 1), (47, 1), (7, 1), (46, 2)]	1872	6
494	28	2025-04-10	[(9, 1)]	13	1
312	19	2025-04-11	[(9, 1), (39, 1)]	88	2
149	10	2025-04-12	[(1, 1), (45, 1), (33, 1), (22, 1)]	2845	4
176	13	2025-04-12	[(28, 1), (30, 1), (46, 1)]	341	3
336	20	2025-04-13	[(47, 1), (0, 1)]	3200	2
573	35	2025-04-13	[(30, 2), (19, 2), (49, 1), (46, 1), (35, 1), (10, 1)]	1110	8
11	0	2025-04-14	[(22, 1), (6, 1)]	765	2
398	23	2025-04-14	[(26, 1)]	105	1
495	28	2025-04-16	[(5, 1), (3, 1)]	34	2
533	30	2025-04-16	[(41, 2)]	190	2
250	16	2025-04-17	[(14, 1)]	6	1
399	23	2025-04-18	[(39, 1), (6, 1), (45, 1), (49, 1), (32, 1)]	3042	5
451	26	2025-04-19	[(24, 1)]	13	1
625	38	2025-04-19	[(28, 3)]	690	3
230	15	2025-04-21	[(2, 1), (3, 1)]	275	2
298	18	2025-04-22	[(2, 1), (3, 1)]	275	2
251	16	2025-04-23	[(46, 2)]	62	2
132	9	2025-04-24	[(24, 1)]	13	1
299	18	2025-04-25	[(30, 1), (35, 1)]	550	2
496	28	2025-04-25	[(21, 1), (31, 1)]	46	2
612	37	2025-04-25	[(10, 1), (28, 1), (42, 1)]	640	3
50	3	2025-04-26	[(48, 2)]	32	2
82	5	2025-04-27	[(4, 1)]	18	1
231	15	2025-04-27	[(7, 1), (30, 1)]	135	2
313	19	2025-04-28	[(37, 1), (12, 1), (30, 1)]	197	3
626	38	2025-04-28	[(16, 1), (39, 1), (33, 1)]	614	3
119	7	2025-04-29	[(46, 1), (30, 3)]	271	4
252	16	2025-04-29	[(23, 1)]	30	1
380	22	2025-04-30	[(39, 1), (26, 1), (10, 1)]	480	3
452	26	2025-04-30	[(24, 1)]	13	1
66	4	2025-05-01	[(35, 4), (27, 1), (25, 1)]	2185	6
204	14	2025-05-02	[(25, 1)]	240	1
627	38	2025-05-03	[(41, 1), (47, 1)]	1595	2
205	14	2025-05-05	[(1, 1), (16, 1), (27, 2), (33, 1), (38, 1)]	856	6
232	15	2025-05-05	[(47, 1)]	1500	1
206	14	2025-05-06	[(22, 1), (2, 1)]	465	2
314	19	2025-05-06	[(18, 1)]	21	1
552	31	2025-05-06	[(36, 1)]	35	1
150	10	2025-05-07	[(25, 3)]	720	3
453	26	2025-05-07	[(4, 1)]	18	1
337	20	2025-05-08	[(3, 1), (19, 1), (10, 1), (29, 1)]	512	4
207	14	2025-05-09	[(6, 1), (43, 1), (20, 1)]	919	3
275	17	2025-05-09	[(30, 1)]	80	1
51	3	2025-05-10	[(13, 1)]	135	1
67	4	2025-05-10	[(45, 1), (6, 1), (22, 1)]	3065	3
430	25	2025-05-10	[(11, 1), (4, 1)]	46	2
497	28	2025-05-10	[(15, 1), (13, 1)]	141	2
553	31	2025-05-10	[(20, 1), (26, 1)]	315	2
431	25	2025-05-12	[(42, 1)]	110	1
613	37	2025-05-12	[(38, 1)]	47	1
253	16	2025-05-13	[(17, 1), (29, 1)]	340	2
432	25	2025-05-13	[(8, 1), (40, 1), (21, 1)]	22	3
12	0	2025-05-14	[(26, 1)]	105	1
233	15	2025-05-14	[(9, 1)]	13	1
591	36	2025-05-14	[(6, 1)]	550	1
37	2	2025-05-15	[(30, 1), (17, 1), (19, 1)]	287	3
151	10	2025-05-16	[(12, 1), (41, 1)]	132	2
234	15	2025-05-16	[(0, 1), (29, 1)]	1860	2
513	29	2025-05-16	[(23, 1), (42, 1), (30, 1), (11, 1)]	248	4
574	35	2025-05-16	[(3, 2)]	50	2
83	5	2025-05-17	[(8, 1), (24, 1), (27, 1), (11, 1)]	114	4
68	4	2025-05-18	[(20, 2)]	420	2
254	16	2025-05-18	[(11, 1)]	28	1
315	19	2025-05-18	[(3, 1), (2, 1)]	275	2
38	2	2025-05-20	[(46, 1)]	31	1
120	7	2025-05-20	[(42, 2), (19, 1)]	247	3
419	24	2025-05-20	[(38, 1), (29, 1)]	207	2
554	31	2025-05-20	[(41, 1), (43, 3)]	572	4
300	18	2025-05-21	[(19, 1), (29, 1)]	187	2
534	30	2025-05-21	[(22, 1), (28, 1), (45, 2)]	5045	4
555	31	2025-05-21	[(17, 1), (35, 1)]	650	2
97	6	2025-05-22	[(44, 1), (21, 1)]	29	2
614	37	2025-05-22	[(23, 1), (34, 1)]	155	2
152	10	2025-05-23	[(37, 1)]	80	1
357	21	2025-05-23	[(0, 1), (14, 1)]	1706	2
13	0	2025-05-24	[(49, 1)]	95	1
381	22	2025-05-24	[(37, 1)]	80	1
535	30	2025-05-24	[(6, 1), (43, 1), (33, 1)]	899	3
628	38	2025-05-24	[(25, 1), (29, 1), (26, 1), (22, 1), (45, 1), (17, 1), (7, 1)]	3255	7
177	13	2025-05-25	[(18, 1), (38, 1), (14, 1), (12, 1), (3, 1), (41, 1)]	231	6
514	29	2025-05-25	[(35, 1), (10, 1)]	770	2
629	38	2025-05-25	[(20, 1), (12, 1)]	247	2
338	20	2025-05-27	[(34, 1), (49, 2), (2, 1)]	565	4
235	15	2025-05-28	[(17, 1)]	180	1
14	0	2025-05-29	[(41, 2), (16, 1), (0, 1)]	2239	4
358	21	2025-05-29	[(3, 1), (17, 1), (35, 1), (28, 1), (10, 1), (38, 1)]	1252	6
454	26	2025-05-29	[(48, 1)]	16	1
133	9	2025-06-01	[(24, 1)]	13	1
178	13	2025-06-01	[(5, 1), (21, 1)]	18	2
400	23	2025-06-01	[(13, 1), (43, 1)]	294	2
556	31	2025-06-01	[(33, 3), (37, 2), (28, 1), (46, 1)]	991	7
